split,pinn_price_rmse,pinn_delta_mae,pinn_gamma_mae,pinn_theta_mae,pinn_vega_mae,pinn_rho_mae,fd_delta_mae,fd_gamma_mae,fd_theta_mae,fd_vega_mae,fd_rho_mae,mc_delta_mae,mc_gamma_mae,mc_theta_mae,mc_vega_mae,mc_rho_mae
in_distribution,48.73484109163332,0.5538155628540524,0.009170834153846081,9.975717463643722,17.731305752938525,41.53259311852703,5.2321911351173894e-09,5.10480315358651e-10,8.535500424391578e-05,6.50583552609155e-05,4.93942181001344e-07,0.004452513080038515,0.0018396134309909776,11.454911651003297,1.1975570766829369,0.27832421443221933
ood_vol,55.32524314561071,0.5675290467433731,0.007061139975178506,14.648424510541556,27.357158166212628,31.342906607131525,1.927980918207939e-09,1.861549621149352e-10,0.0003123050744222835,1.2773088131087856e-05,1.1402361673206543e-07,0.011213602050101598,0.0031598485166258647,21.96834546913238,2.261027688274684,0.5540052023500963
